(('2004_1693', '152', '4'), 1)
(('2004_1693', '147', '6'), 1)
(('2004_1693', '106', '2'), 1)
(('2001_627', '51', '1'), 6)
(('2001_627', '213', '1'), 4)
(('2001_627', '181', '1'), 4)
(('2001_627', '113', '2'), 4)
(('2001_627', '89', '1'), 3)
(('2001_627', '117', '2'), 3)
(('2001_627', '90', '1'), 2)
(('2001_627', '401', '1'), 2)
(('2001_627', '40', '1'), 2)
(('2001_627', '179', '1'), 2)
(('2001_627', '176', '3'), 2)
(('2001_627', '147', '6'), 2)
(('2001_627', '92', '2'), 1)
(('2001_627', '91', '1'), 1)
(('2001_627', '88', '2'), 1)
(('2001_627', '66', '1'), 1)
(('2001_627', '51', '2'), 1)
(('2001_627', '46', '5'), 1)
(('2001_627', '46', '4'), 1)
(('2001_627', '428', '1'), 1)
(('2001_627', '426', '1'), 1)
(('2001_627', '362', '1'), 1)
(('2001_627', '295', '1'), 1)
(('2001_627', '286', '1'), 1)
(('2001_627', '284', '2'), 1)
(('2001_627', '267', '1'), 1)
(('2001_627', '259', '1'), 1)
(('2001_627', '210', '1'), 1)
(('2001_627', '208', '2'), 1)
(('2001_627', '188', '2'), 1)
(('2001_627', '184', '2'), 1)
(('2001_627', '177', '1'), 1)
(('2001_627', '17', '1'), 1)
(('2001_627', '152', '1'), 1)
(('2001_627', '149', '1'), 1)
(('2001_627', '147', '1'), 1)
(('2001_627', '123', '2'), 1)
(('2001_627', '118', '1'), 1)
(('2001_627', '114', '2'), 1)
(('2001_627', '109', '2'), 1)
(('2001_627', '108', '1'), 1)
(('2003_661', '-', '1'), 23)
(('2003_661', '-', '8'), 9)
(('2003_661', '-', '7'), 7)
(('2003_661', '-', '2'), 6)
(('2003_661', '-', '4'), 5)
(('2003_661', '-', '5'), 4)
(('2003_661', '-', '9'), 2)
(('2003_661', '-', '14'), 2)
(('2003_661', '-', '6'), 1)
(('2003_661', '-', '3'), 1)
(('2003_661', '-', '18'), 1)
(('2003_661', '-', '11'), 1)
(('2003_661', '-', '10'), 1)
(('2001_1229', '113', '1'), 10)
(('2001_1229', '11', '1'), 7)
(('2001_1229', '92', '6'), 2)
